,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
T5,0.6655528544427886,0.1254146672052777,-0.15224202279505553,-0.04249844433773127,0.17155620499043334,-0.17092419322627242,0.04069781096542963,0.3808156885375096,0.3543762661723321,0.042135117137146995,-0.05430310328703136,-0.05195086115824991,-0.0478410223296091,-0.02272174092704535,0.08479025760171083,0.03230685748919624,-0.09367687016596829,-0.126359595943905,0.06631743624946664,-0.11920289074467641
H1,-0.11059293031214174,-0.17081139341938614,-0.0705983063392603,0.10652920079808041,0.1009153676821896,-0.1274113411691708,-0.286725281699424,-0.24043916669625207,-0.008439090330857876,0.06318607434137204,0.5513012578594058,0.5743085787539459,-0.19130884023017702,-0.01933737366527012,-0.05704774033150872,-0.2190991326228101,0.07421974417378162,-0.10501404479299876,-0.010905561188809126,0.04800905539610276
H6,-0.1311625909481102,-0.05316489916121982,0.8504164951725498,0.20617171924875546,0.0872937136121714,0.13382555542548472,0.10145774551291283,0.25594874027404607,-0.035321089308881226,-0.06140087870164668,0.01625822119117898,0.027670627984419074,0.0059933956173876275,0.016639461209896268,-0.16061452919934296,0.014187806628953893,0.15431455256071724,-0.07255823075025843,0.06012056954725519,-0.037547112280632775
H7,0.08782813855242017,0.7877893397149035,0.1479588373341561,-0.41382601976030614,-0.10239332286598993,0.0908730742431423,0.16956771062721665,-0.03317123400375844,-0.03851880059427493,-0.007913925124427902,0.02391108581879894,-0.029602284916666406,-0.10235931724272848,-0.06946059318876162,0.000963030286109145,0.0456761608623933,-0.0021877858520138196,0.139349000261732,-0.050028758152726574,-0.07240822322850521
H8,0.08094258850471056,0.7976857369435868,0.1402934627909052,-0.4182685703586638,-0.11244777179082178,0.09232934281076889,0.16189675049359264,-0.03796573664129713,-0.037345722865126434,0.0012319467854334488,0.01990867374544295,-0.015781369703977605,-0.10919169976034046,-0.05066676511679333,-0.004584032494151754,0.038360031699505484,-0.008912436285198963,0.12459521352478892,-0.06261959932568098,-0.05200541956291483
H2,-0.8473536164000768,-0.0696914596365092,0.09724209790849829,-0.051257359222497544,-0.2099382886011777,-0.08398752734696135,0.16681708268204765,0.10095811158624834,-0.052471009094091255,0.18137342934868894,0.006136068027246305,0.028170252609544408,0.03987435976062699,0.10769737620077664,0.06574062541479739,0.020938863360267162,-0.08003003878638035,0.062179328215883733,-0.0219680601813717,0.04701543409002693
H3,-0.17168202687694298,0.24510843657749617,0.5827491363019293,0.1505468017941201,0.035679098287808256,0.23486317884590716,-0.14861447844154857,-0.20602831544515068,-0.19492751609355863,0.2603540111672876,0.048453609548849606,-0.029352287817841244,-0.07235591363698458,0.0009481077367169354,0.26984681789148146,0.1514785378529146,0.05764293954608848,-0.07419705184641631,-0.179342256431712,0.005458962241092871
H4,-0.7041976867868892,-0.2557136650903122,-0.24086724529125206,-0.11930059998604606,-0.15893223069734896,-0.1720940535883511,0.2113727828573188,-0.10581843199814188,0.01854979577368838,0.08475933138608288,-0.07517850449754718,-0.0235823152832604,-0.004347768680710983,0.15340369320512362,0.10457014509487263,-0.004172316606363517,0.003484927120256268,0.05423883590251453,0.0008578460222457392,0.012375604025023967
H5,-0.18469608131209572,-0.007444565102692771,0.058570599695611375,0.05899285160235005,0.20104964899939004,-0.14820878608690763,-0.16822049311328247,0.4901619881464547,0.5300185299203399,-0.022783341728717453,0.0075463894503302225,0.09575864209537448,-0.10480962239728586,0.010294727700482908,0.06911749677915553,-0.09323374724650148,0.07016508452625066,0.2909930569471522,-0.3163022858799884,0.12119729092805788
H9,0.27800412705882765,-0.280382872739244,0.406197687630595,0.0028047425416683367,-0.5088761018569861,0.3575490292877836,-0.03330247106719748,-0.29339392155567295,-0.1372828842831055,-0.0710936588470999,-0.0326102834278722,0.011049907399182237,0.004750677539226367,-0.012275030867167965,0.00334298855110735,0.022071262409187706,0.039464614707989405,-0.013484147611970974,-0.09969285689194482,0.053802066160591966
